	previous_sentence	question
1	voilà 	il faut qu'on parle à tour de rôle ou euh ? 
2	sur Paris 	sinon il allait reproduire le même schéma que nous c'est-à-dire que sa famille à Longjumeau sa s?ur est à Longjumeau et lui restait du côté 
3	voilà 	vous allez au marché aussi ? 
4	après 	à la place de Léonidas ? 
5	madame Schwab ah il faisait des bons gateaux mm 	rue de Tolbiac ? 
6	y a y a l'agence immobilière 	là y a une agence immobilière ? 
7	finalement y a beaucoup oui 	et euh même lorsque vous êtes toute seule ? 
8	donc vous ne dites pas 	comme votre maman alors ? 
9	mille neuf cent soixante-seize donc 	c'était ? 
10	c'était ? 	mille neuf cent soixante-seize ? 
11	ouais 	et ton frère il est né dans le Sud-Est ou le Sud-Oouest ? 
12	mm ouais 	les tes grands-parents du côté de ta maman ou ? 
13	"
"	par exemple ? 
14	alors au début on était dans la même chambre après euh 	d'accord et dans le plus grand appartement ? 
15	dans le plus grand appartement là c'était le luxe on avait un un un un une chambre chacun c'était un bel grand appartement ouais 	d'accord et donc tes parents sont toujours dans cet appartement-là ? 
16	mes parents ils y sont toujours 	d'accord et ils vont déménager ? 
17	d'accord 	dans le treizième arrondissement ? 
18	et v- vous vous alliez euh 	dans ce quartier ? 
19	très régulièrement 	très régulièrement ? 
20	dans le quartier 	asiatique ? 
21	voilà 	c'est ça ? 
22	oui 	tes grands-parents ? 
23	non non enfin c'est toute la famille euh en 	à la fin ? 
24	ils sont rentrés en 	d'accord d'accord et euh donc en fait tes grands-parents euh du côté de ton père ils ont monté une société alors de de toutes pièces ? 
25	tout tout toute ma famille est rentrée 	avait quitté ? 
26	non mon frère euh n'est jamais allé au 	vous en avez parlé tous les deux ou ? 
27	non pas tellement 	et pour ta fille alors ? 
28	je me suis pas 	ça va ? 
29	oui pour l'instant ça va bon enfin le c'était jusqu'à maintenant c'était donc la la 	le jardin d'enfants ? 
30	pour l'instant ça se passe très bien 	ouais et donc pour le choix de l'école ? 
31	oui oui oui on monte un restaurant qui sera aussi dans le treizième 	ouais à investir ? 
32	ouais 	là ? 
33	on va croiser les doigts 	donc un un restaurant qui s'ouvrira qui ouvrira le midi ? c'est ça ? 
34	euh et voilà 	et ce sera de la cuisine asiatique ? 
35	ce sera nos productions à nous 	vos inventions ? 
36	euh non pas du tout 	ça non ? 
37	est-ce que 	euh comment tu situes le le treizième finalement ? 
38	le treizième euh 	qu'est-ce que tu dirais ? 
39	ouais 	trop bourgeois c'est ça ? tu te 
40	là je me sens bien ouais 	dans ton élément ? 
41	euh oui 	pas tellement ? 
42	non 	non ? 
43	transports c'est euh 	ou à pied ? 
44	en semaine ça va ça va mieux oui ouais 	et donc pour euh votre restaurant-là ce sera à pied ? 
45	les 	y a des fournisseurs ? 
46	oui 	c'est plus vieux que ça ? 
47	je vais chercher 	et pour aller voir ton frère dans le cinquième là pareil ? 
48	tes grands-parents 	ne parlaient pas vietnamien à ton père ? 
49	assez ancien quand même 	donc c'est tes arrières grands-parents alors peut-être ? 
50	non non non 	ou comme ça ? 
51	d'accord 	c'est ça ? 
52	dans dans ce genre de finesses 	d'accord t- tu entends d'autres langues encore ou ? 
53	ouais 	parce que toi tu parles le portugais ? 
54	qu'en français aussi 	avec elle ? 
55	français 	mais par exemple est-ce que vous lui mettez des films en portugais ? 
56	le genre de choses qu'on fait 	vous faites ça ? 
57	bien 	y avait un autre restaurant ? 
58	ouais 	finalement ? 
59	non je pense que 	c'était pas ça ? 
60	non c'est pas des histoires de crise 	ils étaient pas bons ? 
61	j'ai fais 	tu faisais quoi ? 
62	c'est indépend- y a pas de règles euh 	y a pas de règles ? 
63	de de d'y aller 	donc finalement toi tu tu as fait le choix de pas travailler avec euh ton père ? ça c'est 
64	tu tu aurais tu aurais pu 	travailler avec lui ou ? 
65	non il m'a pas proposé 	exemple ou ? 
66	mais bon dès le départ 	t- tu avais pas envie ? c'était clair pour toi 
67	tu avais pas envie de 	faire ça ? 
68	non si tu veux je préfé- 	quelque chose c'est ça ? 
69	et non 	et puis y avait ton frère aîné déjà non ? 
70	enfin je sais pas 	tes tes tes parents ils te laissaient ? ils te laissaient à 
71	donc elle s'en occupe elle leur donne à manger 	ça non ? 
72	ça non ça j'en veux pas 	tu as mis ton veto là ? 
73	ça va pas plus loin 	et mais toi tu as de bons souvenirs quand même avec euh ce chien-là euh ? 
74	euh oui bon de b- bons 	ou pas spécialement ? 
75	donc non pas pas de chien 	tes parents ont pris un autre animal ou ? 
76	non non non je crois que c'était vraiment pour me faire plaisir (rires) euh aussi 	elle travaillait ta maman ? 
77	voilà c'est y a y a quelqu'un 	là maintenant ? 
78	mm ouais 	conçu comme cela afin de même travailler ensemble c'était important ? 
79	ouais 	de pouvoir travailler ensemble ? 
80	d'accord 	que je dois dire ? 
81	bah je y ai pas pensé à vrai dire 	ça ? 
82	mm ouais 	mais quand même on lui en a parlé ? 
83	crois pas non 	même pas ? 
84	non je crois pas non 	non ? 
85	oui oui oui oui et puis j'ai un voisin un copain aussi qui euh dont c'est le dont le père s'occupe de cette association qui m'a promis de de de me les présenter 	d'accord donc ça d'accord mais sinon les autres associations les vies de quartiers etc euh ? 
86	ah oui 	c'est vrai ? 
87	mon tour de (rires) de questions est-ce que 	est-ce que j'ai quelque chose à rajouter ? 
88	tr- 	c'est quoi ton quartier finalement ? 
89	qui n'existe pas mais- 	mais le quatorzième tu y vas pas non plus ? 
90	voilà 	et ce sont et vos parents étaient parisiens aussi ? 
91	le morceau qui figurait là 	d'accord donc vous des terrains de jeux ? 
92	d'accord donc vous des terrains de jeux ? 	ça veut dire ? 
93	"
"	et est-ce que avec votre frère et votre soeur vous vous retourniez sur Fécamp ? 
94	d'accord 	donc pour vous finalement Paris ça va- ça a ça peut se comprendre comme rive droite rive gauche et si par exemple on vous dit est et ouest est-ce que ça veut dire aussi quelque chose pour vous est-ce que ça a du sens ? 
95	un café- 	un café peut-être ? 
96	d'accord 	donc c'est tou- c'est toujours le Quinzième ? 
97	donc c'est tou- c'est toujours le Quinzième ? 	c'est ça ? 
98	oui 	hein c'est ça ? 
99	on 	par exemple ? 
100	ah oui 	c'est ça ? 
101	là avec des plans mais ils savent pas où est le nord 	des touristes ? 
102	régulièrement 	et donc ce sont des gens qui habitent à Paris d'après vous ? 
103	oui 	alors là toute explication et explication de texte aboutie puisque en fait après trente secondes après ou une minute je lui dis « c'était quoi le mot ? ah ouais c'est rentré » bon alors 
104	pour qu'elles 	ah oui ? 
105	voire le grec 	ah ? 
106	faut- faut récupérer 	c'est ça ? 
107	tous les matins 	des déplacements réguliers ? 
108	oui oui je sais bien 	que c'est bourgeois-bohème mais c'est quoi ? 
109	oui oui 	parce qu'une bibliothèque qu'est-ce que c'est ? c'ests c'est un lieu 
110	j'ai toujours habité le treizième	ah oui oui toujours le treizième ?
111	toujours	Et ?
112	ils ont trouvé un appart- là ils se sont installés là	donc lui aussi venait des Landes ?
113	non 	ensuite ils ont déménagé ?
114	ouais et après on est allés ri- rue Leredde 	et après vous avez été où ?
115	et euh y sont toujours	et euh ils sont toujours là ?
116	ouais 	sinon elle s- elle serait restée?
117	bon il emmène la petite de temps en temps faire du vélo enfin non non on sort de Paris ouais	où ça alors dans quelle forêt euh
118	oouais	donc vous allez plus vers le parc de Bercy que vers Choisy par exemple ?
119	non on va ailleurs	est-ce qu'y a une raison ou ?
120	il chauffe plus 	c'est toujours le même monsieur aussi ?
121	y vont aussi pour leur faire découvrir plein de choses	les écoles du treizième ?
122	au milieu des des bureaux	en arrière c'est ça ?
123	y avait des prostituées y avait même	mais y a longtemps ?
124	mais même ce quartier là oui y a très très longtemps c'était mal famé quoi 	et vers Masséna alors ?
125	et ça aurait peut-être été bien de le faire	et donc co- comme démolition ce qui vous a frappées c'est celle de du pont bleu et rouge là ? 
126	un moment important quoi enfin pour le quartier ça a été quelque chose	t'en souviens ?
127	mais il est moins facile d'accès en fait 	et et votre voiture vous la garez où alors ?
128	y a toujours de la vie euh	et euh même lorsque vous êtes toute seule ? 
129	donc ça avait été un évènement ici 	oui oui il avait été tué par un policier ou par ?
130	mm peut-être par là oui 	et vous vous souvenez par exemple de voitures brûlées ou de choses comme ça ?
131	donc bon du coup c'est plus un repère voilà le le MK2 y a des gens qui viennent au cinéma ici donc euh c'est un repère pour eux 	vous vous y allez au au cinéma là ?
132	et donc du coup les les limites de quartier ce serait où alors ce serait euh	euh les limites du quartier ?
133	et puis euh ben là c'est plus jeune donc peut-être qu'effectivement l'année prochaine on essaiera	vous faites partie du conseil syndical ou ?
134	toujours dans le treizième à Glacière en face de la prison de la Santé	ça c'était à partir du collège ?
135	oui collège	bon ça c'était dans le quatorzième ?
136	ouais les gens sont contents	ils sont en quelle classe là les les enfants ?
137	y a douze ans d'écart entre les deux donc	y a combien ?
138	ben voilà à partir de la cinquième oui	il est resté jusqu'en terminale ?
139	elle est âgée hein	elle a au moins cent ans non ?
140	donc euh bon ben voilà 	elle elle est où cette école ?
141	au mini school	au mini school ?
142	mais c'est pas pour autant que je sais parler anglais	ah oui donc le mercredi matin quand même pendant une heure ou ?
143	alors elle elle le met à toutes les sauces	ça veut dire quoi ?
144	si ça nous choque pas c'est qu'il parle comme nous	et vous pensez qu'il parle comme ça avec ses copains ou ?
145	donc lui il l'a il le ressent depuis un an oui déjà	donc y a moins de commandes c'est ça ou ?
146	euh plus par rapport au rythme de travail qui était trop soutenu donc j'ai changé pour euh voilà changé de rythme avoir un meilleur équilibre vie professionnelle vie privée	d'accord pas pas du tout pour des raisons économiques ?
147	on a créé des liens c'est vrai qu'on se connaît relativement bien	mais vous travaillez dans le quartier ou ?
148	ça c'était un essai	euh alors je sais que c'est tes parents qui sont arrivés dans ce quartier ?
