;previous_5_turn;question;next_5_turn
0;"
oui et non

vous vous plaisez à  Orléans ?


oh ça fait neuf ans depuis dix neuf cent soixante


depuis combien de temps habitez-vous Orléans ?


monsieur

";pourquoi ça ?;"
bah parce que

j'ai
j'ai toujours euh
je suis Lorrain
alors j'ai
je suis né en Lorraine et puis j'ai toujours été en Lorraine

et je préfère la Lorraine à  l'Orléanais


et est-ce que vous comptez rester à  Orléans ?


oh je suis obligé par ma profession


hm


"
1;"
bah parce que

j'ai
j'ai toujours euh
je suis Lorrain
alors j'ai
je suis né en Lorraine et puis j'ai toujours été en Lorraine

et je préfère la Lorraine à  l'Orléanais




pourquoi ça ?

oui et non

vous vous plaisez à  Orléans ?


oh ça fait neuf ans depuis dix neuf cent soixante

";et est-ce que vous comptez rester à  Orléans ?;"
oh je suis obligé par ma profession


hm



et qu'est ce que vous faites comme travail ?


je suis contrôleur divisionnaire aux PTT

"
2;"


hm

oh je suis obligé par ma profession


et est-ce que vous comptez rester à  Orléans ?


bah parce que

j'ai
j'ai toujours euh
je suis Lorrain
alors j'ai
je suis né en Lorraine et puis j'ai toujours été en Lorraine

et je préfère la Lorraine à  l'Orléanais

";et qu'est ce que vous faites comme travail ?;"
je suis contrôleur divisionnaire aux PTT


hm hm

et en quoi ça consiste ?

euh c'est très vague

ben
c'est du travail de
c'est difficile à  définir c'est du travail de contrôle euh

dans une
dans certaines euh

certaines branches du service euh postal quoi euh
et y y'a un peu de tout c'est difficile à  définir ça

hm hm

mais


est est-ce que vous voulez bien me décrire une journée de travail ?

"
3;"
je suis contrôleur divisionnaire aux PTT


et qu'est ce que vous faites comme travail ?




hm

oh je suis obligé par ma profession

";et en quoi ça consiste ?;"
euh c'est très vague

ben
c'est du travail de
c'est difficile à  définir c'est du travail de contrôle euh

dans une
dans certaines euh

certaines branches du service euh postal quoi euh
et y y'a un peu de tout c'est difficile à  définir ça

hm hm

mais


est est-ce que vous voulez bien me décrire une journée de travail ?


ah une journée de travail oui

alors euh
le matin je co- je commence à  cinq heures

et
de
cinq heures à 

vous voulez des détails de de 

de ?
si si
"
4;"
hm hm

mais


euh c'est très vague

ben
c'est du travail de
c'est difficile à  définir c'est du travail de contrôle euh

dans une
dans certaines euh

certaines branches du service euh postal quoi euh
et y y'a un peu de tout c'est difficile à  définir ça

hm hm

et en quoi ça consiste ?

je suis contrôleur divisionnaire aux PTT


et qu'est ce que vous faites comme travail ?

";est est-ce que vous voulez bien me décrire une journée de travail ?;"
ah une journée de travail oui

alors euh
le matin je co- je commence à  cinq heures

et
de
cinq heures à 

vous voulez des détails de de 

de ?
si si

tous les détails ?
vous pouvez détailler


alors de cinq heures à  huit heures

je fais du contrôle d'affranchissement


hm

"
5;"
ah une journée de travail oui

alors euh
le matin je co- je commence à  cinq heures

et
de
cinq heures à 

vous voulez des détails de de 

est est-ce que vous voulez bien me décrire une journée de travail ?


hm hm

mais


euh c'est très vague

ben
c'est du travail de
c'est difficile à  définir c'est du travail de contrôle euh

dans une
dans certaines euh

certaines branches du service euh postal quoi euh
et y y'a un peu de tout c'est difficile à  définir ça

hm hm

et en quoi ça consiste ?
";de ?;"
tous les détails ?
vous pouvez détailler


alors de cinq heures à  huit heures

je fais du contrôle d'affranchissement


hm


dans l'arrivée du du courrier

pour le le courrier qui est ins- insuffisamment affranchi qui est à  taxer

je prépare tout ça euh
pour la distribution des
préposés

je mets les surtaxes et puis

je les distribue à  chaque euh chaque euh préposé et il doit encaisser la surtaxe
dont

hm hm

"
6;"
de ?
si si

ah une journée de travail oui

alors euh
le matin je co- je commence à  cinq heures

et
de
cinq heures à 

vous voulez des détails de de 

est est-ce que vous voulez bien me décrire une journée de travail ?


hm hm

mais


euh c'est très vague

ben
c'est du travail de
c'est difficile à  définir c'est du travail de contrôle euh

dans une
dans certaines euh

certaines branches du service euh postal quoi euh
et y y'a un peu de tout c'est difficile à  définir ça
";tous les détails ?;"

alors de cinq heures à  huit heures

je fais du contrôle d'affranchissement


hm


dans l'arrivée du du courrier

pour le le courrier qui est ins- insuffisamment affranchi qui est à  taxer

je prépare tout ça euh
pour la distribution des
préposés

je mets les surtaxes et puis

je les distribue à  chaque euh chaque euh préposé et il doit encaisser la surtaxe
dont

hm hm


alors euh contrôle des signatures de enfin contrôle quoi

"
7;"
hein
hm hm

alors euh contrôle des signatures de enfin contrôle quoi


hm hm


dans l'arrivée du du courrier

pour le le courrier qui est ins- insuffisamment affranchi qui est à  taxer

je prépare tout ça euh
pour la distribution des
préposés

je mets les surtaxes et puis

je les distribue à  chaque euh chaque euh préposé et il doit encaisser la surtaxe
dont

hm

";alors c'est une journée assez longue ?;"
ah bien on fait sept heures et demie de de file quoi


hm hm


alors euh

le premi- le l-

on commence le matin
à  cin- euh à  cinq heures
jusqu'à  midi et demi

et on recommence le lendemain de midi

à  dix-neuf heures trente

hm hm


et puis ainsi de suite

"
8;"
et


le surlendemain cinq heures midi et ainsi de suite


hm hm

et puis ainsi de suite


hm hm

";qu'est-ce qui vous plaà®t dans votre travail ?;"
déplait ?
ah bah

vous savez ça fait

ça fait trente-deux ans que je suis postier moi 

j'ai 

je suis rentré
hm

aux PTT en dix neuf cent trente-sept


et si
alors euh
"
9;"
qu'est-ce qui vous plaà®t dans votre travail ?
peut-ètre il y a quelque chose qui vous 

et


le surlendemain cinq heures midi et ainsi de suite


hm hm

et puis ainsi de suite

";déplait ?;"
vous savez ça fait

ça fait trente-deux ans que je suis postier moi 

j'ai 

je suis rentré
hm

aux PTT en dix neuf cent trente-sept


et si
alors euh


"
