;previous_sentence;question
0;"
ben je crois qu'on on va attaquer les questions


";il y a longtemps que vous habitez Orléans ?
1;"
eh bien s-
ça fait s-

vingt-six ans depuis 


";est-ce que vous y avez été avant ?
2;"
né Beaugency là dans le Loiret
et à onze ans

je suis venu en pension à Orléans

hein j'ai fait

euh mes études secondaires comme pensionnaire à Orléans
donc j'ai été là pendant cinq ans de la quatrième à la classe terminale

";classique moderne ?
3;"
hm hm
";est-ce que vous vous plaisez à Orléans ?
4;"
oui

oui parce que

euh j'y ai beaucoup d'amis

hein et puis parce que

euh 


progressivement j'ai pris de l'intérêt à la à la vie de

";de ?
5;"
et alors tout d'un coup on a été frappé

de voir le paysage aussi net de voir le paysage aussi pur quoi enfin

on était dans u- à Santander en Espagne 
c'est-à-dire que c'est une région très brumeuse même quand il fait beau temps c'est très brumeux à proximité de la mer et de la montagne
euh un pays assez chaud
fait c'est toujours on est toujours en plein
alors que là

y a une
enfin une visibilité c'est pas toujours hein mais fréquemment
une pureté de de de l'air qui est enfin je sais pas ça
euh y a un certain nombre de choses le site me plaît puis j'aime bien les monuments je dois dire que

s- si vous voulez tout ça a des à-côtés mais enfin j'aime beaucoup voyez le 
l'art roman
hein euh 
 

y a euh
dans la région un certain nombre en particulier dans la vallée du Loir 

un certain nombre de très belles églises romanes euh enfin de d'au-

toutes sortes de choses qui font que je sais pas je

qui me plaît dans cette région
";et est-ce qu'il y a des choses qui vous déplaisent ?
6;"
et alors tout d'un coup on a été frappé

de voir le paysage aussi net de voir le paysage aussi pur quoi enfin

on était dans u- à Santander en Espagne 
c'est-à-dire que c'est une région très brumeuse même quand il fait beau temps c'est très brumeux à proximité de la mer et de la montagne
euh un pays assez chaud
fait c'est toujours on est toujours en plein
alors que là

y a une
enfin une visibilité c'est pas toujours hein mais fréquemment
une pureté de de de l'air qui est enfin je sais pas ça
euh y a un certain nombre de choses le site me plaît puis j'aime bien les monuments je dois dire que

s- si vous voulez tout ça a des à-côtés mais enfin j'aime beaucoup voyez le 
l'art roman
hein euh 
 

y a euh
dans la région un certain nombre en particulier dans la vallée du Loir 

un certain nombre de très belles églises romanes euh enfin de d'au-

toutes sortes de choses qui font que je sais pas je

qui me plaît dans cette région
";je vous ai coupé là qu'est-ce que vous alliez dire ?
7;"
et est-ce qu'il y a des choses qui vous déplaisent ?

je vous ai coupé là qu'est-ce que vous alliez dire ?
";oh les choses qui me déplaisent ? bah vous savez
8;"
oui

";est-ce que vous pourriez nous dire euh à votre avis qu'elles sont les principales qualités des orléanais ?
9;"
hein de la famille
et euh
on est enfin
beaucoup de gens ici estiment que
avoir une nombreuse parenté proche ou lointaine c'est
m- euh
ça ça ça les pose un petit peu hein si vous voulez hein
";t'entends ? 
