;previous_5_turn;question;next_5_turn
0;"
né Beaugency là dans le Loiret
et à onze ans

je suis venu en pension à Orléans

hein j'ai fait

euh mes études secondaires comme pensionnaire à Orléans
donc j'ai été là pendant cinq ans de la quatrième à la classe terminale


je suis donc
oui

bon écoutez si vous voulez je
peux retracer les choses

ah oui ah bon



est-ce que vous y avez été avant ?
";classique moderne ?;"
euh ben j'ai fait philo comme bac et

alors euh après je suis reparti près d- enfin à Beaugency ce qui n'est pas bien loin d'Orléans

et j'ai passé le concours en mille neuf cent quarante et un et j'ai été sept mois à Paris

hiver quarante et un quarante-deux depuis mille neuf cent quarante-deux donc ça fait bien vingt-six

ans oui je suis revenu à Orléans
hm oui



hein et je me suis marié à Orléans en quarante trois alors vous voyez
hm

ça fait quand même euh
"
1;"
hm hm

oui

hein

hm

ça fait quand même euh
";est-ce que vous vous plaisez à Orléans ?;"
oui

oui parce que

euh j'y ai beaucoup d'amis

hein et puis parce que

euh 


progressivement j'ai pris de l'intérêt à la à la vie de


de ?

de de d'Orléans parce que
euh je suis donc au dans les impôts mais à l'origine euh

il y avait trois administrations

y avait l'enregistrement les contributions directes les contributions indirectes
et je suis rentré moi à l'origine uniquement dans l'enregistrement
mais c'est l'enregistrement et les domaines c'est-à-dire c'est l'administration
qui s'occupe euh de toutes les questions d'immeubles de l'Etat

et alors euh pratiquement j'ai jamais fait de fiscalité je me suis toujours euh occupé de tâches domaniales
et alors euh

euh en en particulier l'administration des domaines et le conseiller non seulement de l'Etat mais des collectivités locales
pour toutes leurs opérations immobilières
c'est-à-dire que par mon travail j'ai été au courant
de tous les problèmes de tous les projets
hein concernant l'agglomération orléanaise
comme d'un autre côté sur le plan syndical euh 
ça m'intéressait également enfin ça ça me concernait également
euh si vous voulez j'ai j'ai pris intérêt de plus en plus à

à à la vie quoi de de de cette euh ville et de de l'agglomération hein moi je suis
très partisan de la fusion de de toutes les communes qui composent l'agglomération orléanaise hein

et c'est pourquoi euh
j'y m'enfin j'ai six enfants et
euh eux-mêmes ont beaucoup d'attaches à Orléans enfin on
vraiment on on se plaît hein on se plaît à Orléans
ah y a une autre chose je dois dire qui me plaît dans le fait d'être à Orléans
c'est la proximité de Paris sans être à Paris

hein
c'est
peut-être un élément

qui
ah

influence ma
ma position de tout à l'heure hein
euh on a possibilité si on veut à la rigueur on peut aller
euh partir en sortant de son travail passer la soirée à Paris je l'ai j-
je l'ai jamais fait si vous voulez mais enfin c'est une possibilité
hein
et rentrer euh à une heure du matin nous on est là euh
sans même y aller en voiture par le train on peut hein
euh on peut même s- aller dîner chez des amis à Paris et rentrer dans la nuit et le lendemain matin reprendre son travail
ça
pour moi d'un autre côté la région me plaît

hein le val de Loire

me plaît
hein
euh j'ai- j'aime beaucoup le les sites 
"
2;"
oui

oui parce que

euh j'y ai beaucoup d'amis

hein et puis parce que

euh 


progressivement j'ai pris de l'intérêt à la à la vie de


est-ce que vous vous plaisez à Orléans ?


hm hm

oui

hein
";de ?;"
de de d'Orléans parce que
euh je suis donc au dans les impôts mais à l'origine euh

il y avait trois administrations

y avait l'enregistrement les contributions directes les contributions indirectes
et je suis rentré moi à l'origine uniquement dans l'enregistrement
mais c'est l'enregistrement et les domaines c'est-à-dire c'est l'administration
qui s'occupe euh de toutes les questions d'immeubles de l'Etat

et alors euh pratiquement j'ai jamais fait de fiscalité je me suis toujours euh occupé de tâches domaniales
et alors euh

euh en en particulier l'administration des domaines et le conseiller non seulement de l'Etat mais des collectivités locales
pour toutes leurs opérations immobilières
c'est-à-dire que par mon travail j'ai été au courant
de tous les problèmes de tous les projets
hein concernant l'agglomération orléanaise
comme d'un autre côté sur le plan syndical euh 
ça m'intéressait également enfin ça ça me concernait également
euh si vous voulez j'ai j'ai pris intérêt de plus en plus à

à à la vie quoi de de de cette euh ville et de de l'agglomération hein moi je suis
très partisan de la fusion de de toutes les communes qui composent l'agglomération orléanaise hein

et c'est pourquoi euh
j'y m'enfin j'ai six enfants et
euh eux-mêmes ont beaucoup d'attaches à Orléans enfin on
vraiment on on se plaît hein on se plaît à Orléans
ah y a une autre chose je dois dire qui me plaît dans le fait d'être à Orléans
c'est la proximité de Paris sans être à Paris

hein
c'est
peut-être un élément

qui
ah

influence ma
ma position de tout à l'heure hein
euh on a possibilité si on veut à la rigueur on peut aller
euh partir en sortant de son travail passer la soirée à Paris je l'ai j-
je l'ai jamais fait si vous voulez mais enfin c'est une possibilité
hein
et rentrer euh à une heure du matin nous on est là euh
sans même y aller en voiture par le train on peut hein
euh on peut même s- aller dîner chez des amis à Paris et rentrer dans la nuit et le lendemain matin reprendre son travail
ça
pour moi d'un autre côté la région me plaît

hein le val de Loire

me plaît
hein
euh j'ai- j'aime beaucoup le les sites 

du Val de Loire
hm hm

hein
et je sais pas ça tient peut-être à des choses dont on a conscience et à des choses dont on a pas conscience

euh je 
 repars d'une réflexion tout récente hein
euh
j'ai donc passé mes vacances en Espagne et je suis revenu en voiture

et je suis remonté voyez par Bordeaux Poitiers

et puis à Poitiers un peu au-dessus de Poitiers euh au lieu de continuer vers Tours on a bifurqué euh vers Loches
"
3;"
et alors tout d'un coup on a été frappé

de voir le paysage aussi net de voir le paysage aussi pur quoi enfin

on était dans u- à Santander en Espagne 
c'est-à-dire que c'est une région très brumeuse même quand il fait beau temps c'est très brumeux à proximité de la mer et de la montagne
euh un pays assez chaud
fait c'est toujours on est toujours en plein
alors que là

y a une
enfin une visibilité c'est pas toujours hein mais fréquemment
une pureté de de de l'air qui est enfin je sais pas ça
euh y a un certain nombre de choses le site me plaît puis j'aime bien les monuments je dois dire que

s- si vous voulez tout ça a des à-côtés mais enfin j'aime beaucoup voyez le 
l'art roman
hein euh 
 

y a euh
dans la région un certain nombre en particulier dans la vallée du Loir 

un certain nombre de très belles églises romanes euh enfin de d'au-

toutes sortes de choses qui font que je sais pas je

qui me plaît dans cette région

hm

hein
et je sais pas ça tient peut-être à des choses dont on a conscience et à des choses dont on a pas conscience

euh je 
 repars d'une réflexion tout récente hein
euh
j'ai donc passé mes vacances en Espagne et je suis revenu en voiture

et je suis remonté voyez par Bordeaux Poitiers

et puis à Poitiers un peu au-dessus de Poitiers euh au lieu de continuer vers Tours on a bifurqué euh vers Loches

du Val de Loire
hm hm

influence ma
ma position de tout à l'heure hein
euh on a possibilité si on veut à la rigueur on peut aller
euh partir en sortant de son travail passer la soirée à Paris je l'ai j-
je l'ai jamais fait si vous voulez mais enfin c'est une possibilité
hein
et rentrer euh à une heure du matin nous on est là euh
sans même y aller en voiture par le train on peut hein
euh on peut même s- aller dîner chez des amis à Paris et rentrer dans la nuit et le lendemain matin reprendre son travail
ça
pour moi d'un autre côté la région me plaît

hein le val de Loire

me plaît
hein
euh j'ai- j'aime beaucoup le les sites 
";et est-ce qu'il y a des choses qui vous déplaisent ?;"
c'est à taille humaine hein j'allais dire
si vous voulez c'est pas trop petit c'est pas trop grand hein euh
si vous voulez on connaît pas tout le monde mais enfin on peut connaître beaucoup de monde c'est
un aspect aussi hein qui
oh les choses qui me déplaisent ? bah vous savez
je crois que c'est pas spécial à Orléans hein y a 
 quand vous partiez l'autre jour
hein
euh on dit que les orléanais sont froids euh c'est vrai hein il y a certainement
est-ce que c'est spécial à Orléans je j'en doute de plus en plus

hein j'en doute de plus en plus ma fille qui fait
une licence d'espagnol s'est inscrite à Poitiers parce qu'on ne faisait pas de licence d'espagnol ni à Tours ni à Orléans
elle s'est inscrite à Poitiers
elle y a passé une année sans pouvoir s'y habituer
hein et parce que le lieu était très fermé
et effectivement euh
j'ai des collègues qui se sont trouvés dans la même situation et qui ont eu la même réflexion
euh j'ai entendu les mêmes réflexions de gens qui étaient à Angers ou de gens qui étaient hein

je crois que on en est tous là euh



hein euh

il me semble
hein alors il est bien certain que

y a une ment- y a la mentalité d'une partie de la population orléanaise qui me
qui ne m'enthousiasme pas mais

je crois que c'est pas spécial à Orléans

une partie de la population en fait qui

oui

oui
bah euh je crois que effectivement il y a une population disons bourgeoise 
et euh euh assez fermée hein assez fermée
hein et aussi euh
euh
ben je j'allais dire aristocratique
tout au moins de d'an- d'ancienne noblesse si vous voulez enfin j'étais
j'ai été quand j'ai fait mes études j'ai été pensionnaire dans un établissement catholique ici à Sainte-Croix j'ai été pensionnaire pendant cinq ans
y avait

vingt pour cents des élèves de la classe qui portaient des noms à particule

quoi hein et qui formaient une caste
oui
"
4;"
et alors tout d'un coup on a été frappé

de voir le paysage aussi net de voir le paysage aussi pur quoi enfin

on était dans u- à Santander en Espagne 
c'est-à-dire que c'est une région très brumeuse même quand il fait beau temps c'est très brumeux à proximité de la mer et de la montagne
euh un pays assez chaud
fait c'est toujours on est toujours en plein
alors que là

y a une
enfin une visibilité c'est pas toujours hein mais fréquemment
une pureté de de de l'air qui est enfin je sais pas ça
euh y a un certain nombre de choses le site me plaît puis j'aime bien les monuments je dois dire que

s- si vous voulez tout ça a des à-côtés mais enfin j'aime beaucoup voyez le 
l'art roman
hein euh 
 

y a euh
dans la région un certain nombre en particulier dans la vallée du Loir 

un certain nombre de très belles églises romanes euh enfin de d'au-

toutes sortes de choses qui font que je sais pas je

qui me plaît dans cette région

hm

hein
et je sais pas ça tient peut-être à des choses dont on a conscience et à des choses dont on a pas conscience

euh je 
 repars d'une réflexion tout récente hein
euh
j'ai donc passé mes vacances en Espagne et je suis revenu en voiture

et je suis remonté voyez par Bordeaux Poitiers

et puis à Poitiers un peu au-dessus de Poitiers euh au lieu de continuer vers Tours on a bifurqué euh vers Loches

du Val de Loire
hm hm

influence ma
ma position de tout à l'heure hein
euh on a possibilité si on veut à la rigueur on peut aller
euh partir en sortant de son travail passer la soirée à Paris je l'ai j-
je l'ai jamais fait si vous voulez mais enfin c'est une possibilité
hein
et rentrer euh à une heure du matin nous on est là euh
sans même y aller en voiture par le train on peut hein
euh on peut même s- aller dîner chez des amis à Paris et rentrer dans la nuit et le lendemain matin reprendre son travail
ça
pour moi d'un autre côté la région me plaît

hein le val de Loire

me plaît
hein
euh j'ai- j'aime beaucoup le les sites 
";je vous ai coupé là qu'est-ce que vous alliez dire ?;"
c'est à taille humaine hein j'allais dire
si vous voulez c'est pas trop petit c'est pas trop grand hein euh
si vous voulez on connaît pas tout le monde mais enfin on peut connaître beaucoup de monde c'est
un aspect aussi hein qui
oh les choses qui me déplaisent ? bah vous savez
je crois que c'est pas spécial à Orléans hein y a 
 quand vous partiez l'autre jour
hein
euh on dit que les orléanais sont froids euh c'est vrai hein il y a certainement
est-ce que c'est spécial à Orléans je j'en doute de plus en plus

hein j'en doute de plus en plus ma fille qui fait
une licence d'espagnol s'est inscrite à Poitiers parce qu'on ne faisait pas de licence d'espagnol ni à Tours ni à Orléans
elle s'est inscrite à Poitiers
elle y a passé une année sans pouvoir s'y habituer
hein et parce que le lieu était très fermé
et effectivement euh
j'ai des collègues qui se sont trouvés dans la même situation et qui ont eu la même réflexion
euh j'ai entendu les mêmes réflexions de gens qui étaient à Angers ou de gens qui étaient hein

je crois que on en est tous là euh



hein euh

il me semble
hein alors il est bien certain que

y a une ment- y a la mentalité d'une partie de la population orléanaise qui me
qui ne m'enthousiasme pas mais

je crois que c'est pas spécial à Orléans

une partie de la population en fait qui

oui

oui
bah euh je crois que effectivement il y a une population disons bourgeoise 
et euh euh assez fermée hein assez fermée
hein et aussi euh
euh
ben je j'allais dire aristocratique
tout au moins de d'an- d'ancienne noblesse si vous voulez enfin j'étais
j'ai été quand j'ai fait mes études j'ai été pensionnaire dans un établissement catholique ici à Sainte-Croix j'ai été pensionnaire pendant cinq ans
y avait

vingt pour cents des élèves de la classe qui portaient des noms à particule

quoi hein et qui formaient une caste
oui
"
5;"
et est-ce qu'il y a des choses qui vous déplaisent ?

je vous ai coupé là qu'est-ce que vous alliez dire ?

et alors tout d'un coup on a été frappé

de voir le paysage aussi net de voir le paysage aussi pur quoi enfin

on était dans u- à Santander en Espagne 
c'est-à-dire que c'est une région très brumeuse même quand il fait beau temps c'est très brumeux à proximité de la mer et de la montagne
euh un pays assez chaud
fait c'est toujours on est toujours en plein
alors que là

y a une
enfin une visibilité c'est pas toujours hein mais fréquemment
une pureté de de de l'air qui est enfin je sais pas ça
euh y a un certain nombre de choses le site me plaît puis j'aime bien les monuments je dois dire que

s- si vous voulez tout ça a des à-côtés mais enfin j'aime beaucoup voyez le 
l'art roman
hein euh 
 

y a euh
dans la région un certain nombre en particulier dans la vallée du Loir 

un certain nombre de très belles églises romanes euh enfin de d'au-

toutes sortes de choses qui font que je sais pas je

qui me plaît dans cette région

hm

hein
et je sais pas ça tient peut-être à des choses dont on a conscience et à des choses dont on a pas conscience

euh je 
 repars d'une réflexion tout récente hein
euh
j'ai donc passé mes vacances en Espagne et je suis revenu en voiture

et je suis remonté voyez par Bordeaux Poitiers

et puis à Poitiers un peu au-dessus de Poitiers euh au lieu de continuer vers Tours on a bifurqué euh vers Loches

du Val de Loire
hm hm
";oh les choses qui me déplaisent ? bah vous savez;"
hein euh

il me semble
hein alors il est bien certain que

y a une ment- y a la mentalité d'une partie de la population orléanaise qui me
qui ne m'enthousiasme pas mais

je crois que c'est pas spécial à Orléans

une partie de la population en fait qui

oui

oui
bah euh je crois que effectivement il y a une population disons bourgeoise 
et euh euh assez fermée hein assez fermée
hein et aussi euh
euh
ben je j'allais dire aristocratique
tout au moins de d'an- d'ancienne noblesse si vous voulez enfin j'étais
j'ai été quand j'ai fait mes études j'ai été pensionnaire dans un établissement catholique ici à Sainte-Croix j'ai été pensionnaire pendant cinq ans
y avait

vingt pour cents des élèves de la classe qui portaient des noms à particule

quoi hein et qui formaient une caste
oui

ah oui
et qui formaient une caste vraiment ils étaient très

très
"
6;"
oui


ah oui hm


c'est tout quoi


 hm hm

ah il est certain que y a mais je sais pas si s- enfin j'ai jamais fait l'expérience mais
il est certain qu'il y a

c'est des cloisons un peu entre les les classes sociales hein

non pas qu'elles soient

euh si vous voulez euh imposées quoi que les gens refusent tout contact mais enfin

on se sent plus ou moins à l'aise et puis
";est-ce que vous pourriez nous dire euh à votre avis qu'elles sont les principales qualités des orléanais ?;"
ben c'est-à-dire ça dépend si on considère des choses comme des qualités ou comme des défauts 


hein

oui

euh il est certain enfin je crois que les gens sont très travailleurs

hein je crois que les gens sont très travailleurs

alors euh c'est une qualité jusqu'à un certain point à partir du moment
où on est esclave de son travail à mon avis c'est un défaut


hm hm


hein

euh 
surtout si c'est un travail que l'on fait uniquement parce que on a besoin de le faire pour gagner sa vie
alors ça je crois que ça existe beaucoup hein
euh y a peu de gens qui réalisent vraiment une vocation quoi et
qui s'épanouissent dans leur travail
et alors euh par contre euh je crois que ces gens travaillent avec a- acharnement hein
c'est donc une qualité mais
je je pense que beaucoup sont euh un peu esclaves de leur travail

hein

euh
je sais bien qu'y a des des des des tempéraments extrêmes dans un autre sens hein
et que


enfin j- 



 j'évoque beaucoup mes mes dernières vacances parce qu'il y a eu quelques contrastes
euh en Espagne il faut bien dire qu'on a eu le sentiment quand même d'une vie beaucoup plus

euh décontractée par rapport au travail hein et puis d'un style de vie qui nous plaisait d'ailleurs euh incontestablement

et alors quand on a eu passé la frontière mais alors là on n'était pas encore à Orléans hein
on a déjeuné à Saint-Jean de Luz
hein
alors là au restaurant c'était calme on n'entendait rien du tout n'est-ce pas
et alors euh ma fille qui était avec moi a repris une expression vous connaissez Fernand Raynaud là qui a raconté l'histoire
elle dit voilà on est plus là pour rigoler

 

"
7;"
hein de la famille
et euh
on est enfin
beaucoup de gens ici estiment que
avoir une nombreuse parenté proche ou lointaine c'est
m- euh
ça ça ça les pose un petit peu hein si vous voulez hein

hm hm

bah les gens vivent très repliés sur eux-mêmes

les gens vivent très repliés sur eux-mêmes y a peu de
euh le le cercle des
enfin vous voyez quelque chose qui est très
très cultivé sur le plan orléanais c'est c'est la famille

 hein
euh c'est-à-dire que
euh on étend la famille assez loin
si vous voulez
hein
mais on reste volontiers dans ce cercle

qu'est-ce qu'ils font alors euh

hm hm
";t'entends ? ;"
tout à fait
ah oui

oui de la difficulté des étrangers enfin 

récents de pénétrer par ce qu'y a beaucoup 
 de famille
ah oui ah oui certainement mais oui certainement hein


certainement

hm hm
"
8;"
hm hm



hein


plus
hm hm hm

je crois que là effectivement euh
comme l'âpreté aux gains enfin
l'influence de de la gauche 
quoi à mon avis euh a joué
ah euh

voyez-vous le l- les gens du Val de Loire les les vignerons seraient plus plus liants seraient 

hm

";si si vous aviez le choix vous-même est-ce que vous aimeriez habiter ailleurs ?;"
non

enfin je souhaite pas quitter Orléans


hm hm

hein je ne souhaite pas quitter Orléans
si euh pour une raison professionnelle je devais quitter Orléans
euh je quitterais Orléans mais voyez vous euh c'est peut-être parce que

on a une certaine difficulté ici à se créer des amitiés hein

que je serais un peu effrayé par la solitude que je craindrais de retrouver ailleurs

et vous croyez que c'est spécial à Orléans ça cette euh

ah non non je n'en sais rien ça je n'en sais rien


"
9;"
je vous dis j'ai toutes ces 
 et puis alors euh
la r- la région aussi me plaît et je souhaite pas du tout quitter Orléans

hein d'abord parce que
hm hm hm hm hm hm

je ne sais pas hein
mais voyez-vous euh
euh personnellement je souhaite pas du tout quitter Orléans

ah non non je n'en sais rien ça je n'en sais rien



et vous croyez que c'est spécial à Orléans ça cette euh
";est-ce que l- l- la famille joue beaucoup pour dans la recherche du travail par exemple ?;"
comment ça ?
quelqu'un qui cherche du travail enfin est-ce qu'il fait appel à ses relations familiales est-ce que ça joue beaucoup euh ?


pour l'aider tout doucement pour


je sais pas ça alors là je j'avoue que j'ai pas de d'idée sur cette question 


j'ai pas d'idées sur cette question

non


et s- et si vous compariez par exemple le la mentalité des parisiens et la mentalité des orléanais
est-ce que vous voyez des grosses différences ou ?


bah je crois quand même que enfin apparemment hein je connais peu les parisiens j'ai passé sept mois à Paris
et c'était l'hiver quarante et un quarante-deux hein


"
