;previous_sentence;question
0;"
euh pas dans la rue arcade vous vous 
vous descendez jusqu'au bout et arrivez sur les quais de la Loire
";ah bon ?
1;"

";Monsieur ?
2;"
ah bonjour madame
euh je voudrais quelque chose qui s'appelle euh
un doughnut


je ne sais pas si vous avez ça
";de ?
3;"
doughnut


";des nattes ?
4;"
ne m'attendez
je sais pas
pas
non je vois pas ce que vous voulez dire je n'ai pas
";vous n'avez pas ?
5;"
enfin mais enfin c- c'est c'est pas exactement une crêpe
";c'est pas un sablé ?
6;"
c'est
c'est pas un sablé ?


";s'il vous plaît ?
7;"
oh non enfin ça c'est un genre de biscuit les les 
";sablés ?
8;"
alors euh
pardon madame
euh trois
morc- euh trois parts de pudding alors 
";café ou chocolat ?
9;"
euh
mais Matzo
";c'est quoi ?
10;"
non oui 
";qu'est-ce que ça peut-être ça ?
11;"
rappelez le nom
c'est m- mat-
motza Matzo
et c'est M A T Z O
";oui c'est pas plutôt Brossard ?
12;"
ah euh
oui c'est pas plutôt Brossard ?

";c'est quoi ça ?
13;"
comme euh
c'est pas plus c'est pas plus gros que
";aux galettes bretonnes à des choses comme ça tout tout plats là non ?
14;"
tout tout tout tout 
";comme un genre de crêpes plates non ?
15;"
non c'est c'est une spécialité
";c'est régional peut-être non ?
16;"
euh
c'est régional peut-être non ?



";s'il vous plaît ?
17;"
s'il vous plaît ?
";c'est pas breton c'est régional non ?
18;"
ah oui alors dans les maisons de régimes peut-être vous trouvez ça davantage alors

";c'est c'est quoi ça c'est ?
19;"
bonsoir monsieur 
";vous n'auriez pas quelque chose euh ?
20;"
euh et
";vous avez regardé chez un boulanger là ?
21;"
enfin habituellement les boulangers c'est vrai ils sont beaucoup
apparemment je suis le seul 
et 

aujourd'hui les Heudebert c'est des vieilles marques 
alors après le pain est grillé 


ah oui je vois pas

je vois pas où est-ce qu'ils peuvent être

";dans la rue de Bourgogne vous voyez pas ?
22;"
oui
parce que là y en a deux boulangers l'un en face de l'autre et un peu plus bas et y en a un qui fait
qui fait le pâtissier lui il est peut-être un peu plus achalandé lui
je ne sais pas qu'est-ce qu'ils font
je sais pas du tout qu'est-ce qu'ils font
";qu'est-ce que vous voulez comme euh ?
23;"
c'est euh

ça s'appelle matzo
c'est M A T Z O
c'est une spécialité juive
";ah bon ?
24;"
alors il faudrait certainement une maison de régime
";ah oui ?
25;"
merci
euh madame

bon appétit

";alors qu'est-ce que tu veux ?
26;"
vingt-et un 



";y en a pas au chocolat oui ?
27;"
y en a pas au chocolat oui ?

";et euh anything else ?
28;"

 et vous n'avez pas de euh

 enfin je regarde sur ma marque c'est ça 

";oui ?
29;"
c'est un peu euh
entre un biscuit et une biscotte si vous voulez c'est

c'est pas sucré là 
c'est
";c'est pa sucré ?
30;"
oui
";c'est pas à l'étage ?
31;"
ah oui et
vous voyez
où

vous en avez un dans la rue
"; euh comment ça s'appelle la ?
32;"
que euh 

ah si vou-
"; de régimes ? 
33;"
deux quarante s'il vous plait


"; et la maison de régimes alors ce serait euh ?
34;"

 et à quand vous avez passé la place du Martroi
ça ça rejoint La Poste
"; vous voyez où y a La Poste ? alors c'est ce petit bout de rue là 
35;"
mais en en en gâteau ou en quoi
";au juste ?
36;"
je voyais pas qu'on avait ça
non vous n'avez pas
";été dans une maison de régime ?
37;"
si si j'ai
";si ?
38;"
été dans
si ?
";il y en a une euh je crois euh dans la rue des Carmes ?
39;"
oui oui oui oui
là oui oui là oui là
";oui vous y êtes allés ?
40;"
où c'est que vous auriez
ah oui d'accord oui
";peut-être aussi ?
41;"
vous connaissez pas la rue
";d'Avignon ?
42;"
oui je crois euh
";vous voyez pas ?
43;"
oui c'est ça oui oui
";oui oui vous y êtes allés ?
44;"
oui c'est ça oui oui
";vous y êtes allés ?
45;"
oui oui
";hein ?
46;"


vous n'avez pas ça
non non non j'en ai pas
bon alors je je crois que
";ce sont des tartelettes à l'orange madame là ? euh
47;"
moi vous savez
";et c'est combien la pièce ?
48;"
j'ai de la tarte aux pommes maison donc à un trente-six à la part
pour vous aussi
";et vous ne faites pas les oranges à la maison si ?
49;"

";vous aviez dit un franc trente-cinq madame ?
50;"



";avec ceci madame ?
51;"
avec ceci madame ?

";c'est tout merci à moins que vous n'ayez un vin de Sancerre ?
52;"
et un vin de Sancerre voici
";qu'est-ce que cela vaut ?
53;"
oui

qu'est-ce que cela vaut ?

";comment ?
54;"
comment ?

";quel est le prix ?
55;"
parce que euh
dans l- que l'on voit dans le midi vous savez pas
";je pense à Funel non ?
56;"
Funel
non si vous pouviez m'en citer d'autres peut-être
";peut-être c'était une marque typiquement de du midi non ?
57;"
enfin c'est-à-dire que j'ai déjà cherché dans d- d'autres magasins
ils m'ont dit que euh
ils ne connaissaient pas b- enfin je me demandais si
si vous aviez ça

";Molinard ?
58;"
aussi quand même
de marques qui sont connues oui
oui
que l'on
oui
connaît même pas par ici dites-donc
";ah oui c'est vrai ?
59;"
je voulais s- mais enfin


";enfin de cette région-là ?
60;"
quelque chose
ah elles sont là


";en avez-vous peut-être dans le quartier ?
61;"
euh j'y suis déjà allé
";ah bon ?
62;"
et ils en avaient ils en ont
ah bon ?
";vous en avez jamais entendu parler ?
63;"
ils m'ont envoyé dans

un
tout près de euh
je sais pas le quartier ici
ils ont dit que peut-être que je trouverai

vous en avez jamais entendu parler ?
";la maison de régime c'est rue de Bourgogne ?
64;"
non
la maison de régime c'est rue de Bourgogne ?

";c'est peut-être là que vous auriez dû aller non ?
65;"
la rue de Bourgogne
ouais mais c'est
enfin je je suis pas orléanais je

"; les galeries ?
66;"
vous connaissez le magasin 
 les galeries ?
";les nouvelles galeries ?
67;"
messieurs dames

";euh est-ce que vous auriez ça madame ?
68;"
messieurs dames

"; ?
