;previous_sentence;question
0;"
dans le bas de cette rue-là à droite et à gauche vous avez des marchands d'articles de pêche euh sur les bords de la Loire 



hm d'accord

parce que peut-être qu'eux euh






comme ils font pas mal de filets enfin de choses en corderie euh

hm hm

";ah bon ?
1;"
ah bonjour madame
euh je voudrais quelque chose qui s'appelle euh
un doughnut


je ne sais pas si vous avez ça

de ?

doughnut



des nattes ?



non euh
doughnut c'est une sorte de euh je sais pas 
pain gâteau

";Monsieur ?
2;"
doughnut



des nattes ?



non euh
doughnut c'est une sorte de euh je sais pas 
pain gâteau


qui est frit


sortez dehors
";de ?
3;"
non euh
doughnut c'est une sorte de euh je sais pas 
pain gâteau


qui est frit


sortez dehors

ne m'attendez
je sais pas
pas
non je vois pas ce que vous voulez dire je n'ai pas

vous n'avez pas ?
";des nattes ?
4;"
euh
non non



c'est quelque chose qui est 
ressemble à

je sais pas une sorte de crêpe

mais qui est rond

oui non j'ai pas

vous n'avez pas ça

et euh
bon
";vous n'avez pas ?
5;"
s'il vous plaît ?

sablé


oh non enfin ça c'est un genre de biscuit les les 

sablés ?
oui oui c'est des petits gâteaux secs 
oui enfin enfin
que nous avons là quand vous regardez au-

autour de vous
y a que ce que vous voyez là hein 
";c'est pas un sablé ?
6;"
sablé


oh non enfin ça c'est un genre de biscuit les les 

sablés ?
oui oui c'est des petits gâteaux secs 
oui enfin enfin
que nous avons là quand vous regardez au-

autour de vous
y a que ce que vous voyez là hein 

ah d'accord
";s'il vous plaît ?
7;"
autour de vous
y a que ce que vous voyez là hein 

ah d'accord

la viennoiserie
en principe qui est en pâte briochée

oui

après vous avez des choses plus sèches
deux soixante
";sablés ?
8;"
euh

pour moi le chocolat s'il vous plaît


trois chocolats



tiens mettez donc les chocolats là mettez euh quatre chocolats et deux cafés dans les 







et je voudrais aussi un paquet de
Matzo

euh



comme nous sommes étrangers justement

oui oui je vois vous parlez très bien le français
";café ou chocolat ?
9;"
il suffit de se comprendre

non mais 

non 

oui d'accord
enfin alors je j-
c'est une sorte de euh

enfin euh un biscuit
mais c'est fait
sans farine




enfin c'est
je sais que c'est c'est mais c'est c'est 
 

enfin
";c'est quoi ?
10;"
enfin biscuit biscotte euh qui
qui a euh enfin qui n'a pas 


oui mais vous savez dans les marques de biscottes 
de biscuiterie y a je ne sais combien de marques en France hein

oui non non mais ça oui non



alors suffit que ce soit une m- euh

ah non non mais c'est pas une marque
c'est une se-
";qu'est-ce que ça peut-être ça ?
11;"


c'est quoi ça ?



c'est une bi- c'est des biscuits Brossard


des gros biscuits



alors euh

non mais faut essay-

c'est c'est c'est enfin

c'est un peu plus long que ça
";oui c'est pas plutôt Brossard ?
12;"
c'est une bi- c'est des biscuits Brossard


des gros biscuits



alors euh

non mais faut essay-

c'est c'est c'est enfin

c'est un peu plus long que ça

oui
";c'est quoi ça ?
13;"
tout tout tout tout 

plat
comme un genre de crêpes plates non ?

oui mais c'est pas une

c'est c'est c'est dur ça
oui d'accord c'est pas oui oui oui

c'est c'est
oui ça croque
ça croque
c'est
";aux galettes bretonnes à des choses comme ça tout tout plats là non ?
14;"
oui mais c'est pas une

c'est c'est c'est dur ça
oui d'accord c'est pas oui oui oui

c'est c'est
oui ça croque
ça croque
c'est

ça croque oui

oui oui

enfin c'est
";comme un genre de crêpes plates non ?
15;"
s'il vous plaît ?

c'est pas breton c'est régional non ?

non non non c'est c'est
c'est une spécialité juive mais on ne f-

ah oui
on n'arrive pas

à l'avoir à Orléans
";c'est régional peut-être non ?
