;previous_sentence;question
0;"

";de de quelle organisation vous nous enregistrez ?
1;"


c'est ça oui monsieur oui
";ça y est ? ah 
2;"


c'est ça oui monsieur oui
";ça va ? tout le monde en a ?
3;"


c'est ça oui monsieur oui
";hein ?
4;"


c'est ça oui monsieur oui
";n'est-ce pas ? 
5;"


c'est ça oui monsieur oui
";hein ?
6;"


c'est ça oui monsieur oui
";trente copies voyez ?
7;"


c'est ça oui monsieur oui
";euh alors vous n'avez pas de renseignements à demander sur cette petite expérience ?
8;"


c'est ça oui monsieur oui
";le comment dirais-je ?
9;"


c'est ça oui monsieur oui
";la phrase n'est pas nouvelle vous vous rappelez ?
10;"


c'est ça oui monsieur oui
";et ce collègue hé bien comment voulez-vous qu'il fasse une équipe ? car il est souvent tout seul dans un petit CEG celui qui enseigne
11;"


c'est ça oui monsieur oui
";hein ?
12;"


c'est ça oui monsieur oui
";mais comment voulez-vous que l'on aborde ceci en sixième ?
13;"


c'est ça oui monsieur oui
";est-ce que ces notions-là seront pas introduites plus tôt ?
14;"


c'est ça oui monsieur oui
";comment noter ceci ou cela ?
15;"


c'est ça oui monsieur oui
";quelle est la notation la meilleure ?
16;"


c'est ça oui monsieur oui
";semblent euh tout au moins n'est-ce pas une première hein ?
17;"


c'est ça oui monsieur oui
";la mathématique moderne n'est-elle pas trop abstraite ? 
18;"


c'est ça oui monsieur oui
";pour marquer la transitivité voyez ?
19;"


c'est ça oui monsieur oui
";n'est-ce pas ? 
20;"


c'est ça oui monsieur oui
";qu'est-ce alors qu'un problème mathématique ?
21;"


c'est ça oui monsieur oui
";et qu'est-ce que c'est que résoudre un problème par conséquent ?
22;"


c'est ça oui monsieur oui
";qu'est-ce que sont les mathématiques ?
23;"


c'est ça oui monsieur oui
";qui sera ce que les hommes en feront ? 
