;previous_sentence;question
0;"
monsieur

";depuis combien de temps habitez-vous Orléans ?
1;"
oh ça fait neuf ans depuis dix neuf cent soixante

";vous vous plaisez à Orléans ?
2;"
oui et non
";pourquoi ça ?
3;"
bah parce que

j'ai
j'ai toujours euh
je suis Lorrain
alors j'ai
je suis né en Lorraine et puis j'ai toujours été en Lorraine

et je préfère la Lorraine à l'Orléanais

";et est-ce que vous comptez rester à Orléans ?
4;"

";et qu'est ce que vous faites comme travail ?
5;"
je suis contrôleur divisionnaire aux PTT

";et en quoi ça consiste ?
6;"
hm hm

mais

";est est-ce que vous voulez bien me décrire une journée de travail ?
7;"
de ?
si si
";tous les détails ?
8;"
hein
hm hm
";alors c'est une journée assez longue ?
9;"
et

";qu'est-ce qui vous plaît dans votre travail ?
10;"

";et si vous n'étiez pas postier ?
11;"
ah ben ça
";qu'est ce que vous aimeriez faire ?
12;"
qu'est ce que vous aimeriez faire ?
euh
";bon moi je bricole beaucoup hein ?
13;"
la preuve c'est je viens de refaire l'appartement hein
quand vous êtes venu 
";j'étais en pleine peinture hein ?
14;"
oui
";et vous personnellement est-ce que vous êtes pour ou contre ?
15;"
hm

";c'est mon point de vue hein ?
16;"
et 
";qu'est ce que vous faites de votre temps libre ?
17;"



";le samedi et le dimanche ?
18;"
oh le samedi et le dimanche euh

principalement la pêche

";et comment vous l'avez-vous passé le dimanche dernier ?
19;"
oui

";et que ferez-vous pendant les vacances d'été ?
20;"
ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année 
m'enfin habituellement euh les autres années on retient

on retient un hôtel au bord de la mer quoi

enfin cette année je sais pas j'ai l'impression que

on va plutôt
faire un voyage on va plutôt faire des vacances itinérantes

";pour faire la pêche ?
21;"
oui j- y'a toujours le matériel dans la voiture




bon
";que feriez-vous de de ce temps libre ?
22;"

";à votre avis monsieur qu'est-ce qu'on devrait apprendre surtout aux enfants ?
23;"

";à l'école ?
24;"
à votre avis monsieur qu'est-ce qu'on devrait apprendre surtout aux enfants ?

à l'école ?
";ce qu'on devrait apprendre surtout aux enfants à l'école ?
25;"
mais 
ce qui serait intéressant c'est que justement

on puisse euh

les enfants puissent apprendre de très bonne heure

euh très jeunes

une ou deux langues étrangères une au moins

";et pourquoi ?
26;"

";et qu'est-ce que vous pensez du latin à l'école ?
27;"
hm hm

";et dans quelle matière est-il bon qu'un enfant soit fort ?
28;"
hm hm

";et qu'est-ce qui fait que les enfants réussissent ou ne réussissent pas à l'école ?
29;"
hm hm

";continuent leurs études ?
30;"
hm

";est-ce que la même chose pour les garçons et les filles ?
31;"

oui

y'a pas de raison

";et pourquoi est-ce que vous dites le plus longtemps possible ?
32;"

";on fait assez pour les habitants ?
33;"

";à Orléans ?
34;"
et pour revenir euh à la ville d'Orléans

est-ce que d'après vous

on fait assez pour les habitants ?

à Orléans ?
";ben en quel sens ?
35;"

ben en quel sens ?

";bon est-ce qu'on fait assez pour les les habitants ?
36;"
hm hm

";est ce que vous pourriez m'expliquer ce qui s'est passé ?
37;"
est ce que vous pourriez m'expliquer ce qui s'est passé ?
";ce qui s'est passé en mai ?
38;"
hm

";qu'est-ce que vous les différences entre les classes sociales sont très marquées à Orléans ?
39;"
qu'est-ce que vous les différences entre les classes sociales sont très marquées à Orléans ?
";la population mais la population en général quoi ?
40;"
bon
oui euh vous avez

y'a quand même euh

y'a quand même pas mal de

de gros propriétaires 
 enfin vous savez c'est partout ça

c'est le régime français ça

";et à quoi est-ce qu'on reconnaît par exemple un gros propriétaire ?
41;"


en général
";par quoi alors ?
42;"
et

";est-ce que on peut passer d'une classe à l'autre ?
43;"
hm hm

";et est-ce que les différences entre les classes ont tendance à diminuer ou à augmenter ?
44;"
et est-ce que les différences entre les classes ont tendance à diminuer ou à augmenter ?
";vous savez moi je vois pas hein ?
45;"
à diminuer

";diminuer pourquoi ?
46;"

";vos enfants monsieur qu'est-ce qu'ils font ?
47;"
mh mh

";fasse autre chose ?
48;"
hm hm

vous m'avez raconté une journée de votre travail
";au cours de votre travail ?
49;"
hm hm

";et et de quoi est-ce que vous parlez en général ?
50;"
qu'on fait quoi euh

";et êtes-vous satisfait de vos conditions de travail ?
51;"

ça pourrait être meilleur

ça pourrait être meilleur mais enfin y'a pas tellement à se plaindre quoi

";et qu'est-ce que vous aimeriez voir changer ?
52;"
et qu'est-ce que vous aimeriez voir changer ?
";parce que ça fait trente-deux ans que je me lève à quatre heures du matin hein ?
53;"
hm hm

";est-ce que vous vous avez déjà fait grève ?
54;"
à chaque fois
";et comment ça a com- commencé ?
55;"
à chaque fois
";savez vous ?
56;"
et comment ça a com- commencé ?

savez vous ?
";comme j'ai commencé à faire grève ?
57;"
ça ça ça remonte à très loin ça
";quand quand vous avez fait grève ?
58;"
pour avoir les nouvelles de ce qui se passait évidemment euh dans les discussions euh avec le gouvernement

";et vous avez obtenu satisfaction ?
59;"
vous savez y'avait quand même eu on a quand même eu un

un résultat

";quel est votre syndicat ?
60;"

Force Ouvrière

";est-ce que vous êtes actif ?
61;"

Force Ouvrière

";dans votre syndicat ?
62;"

parce que j'ai été élu par les camarades
";qu'est ce qu'ils désirent de vous ?
63;"
ben quand y'a des discussions euh

à avoir avec dans les commissions par exemple
";et qu'est-ce qu'il faut faire comme représentant ?
64;"
ben une sorte de

c'est pas un tribunal si vous voulez mais enfin c'est c'est
c'est la défense quoi en somme des
";beaucoup de cas comme ça ?
65;"

";dans quelle région est-ce qu'il doit aller d'après vous ?
66;"
ici c'est pas mal

";est-ce qu'il y a des endroits qu'il devrait éviter ?
67;"
ah mais en principe euh

les endroits où y'a un dialecte qui est très difficile à 

à assimiler

";lesquels par exemple ?
68;"
l'Alsace

le

euh la Catalogne aussi

la Catalogne

enfin partout où y'a un patois quoi
";et pour bien apprendre le français quelles gens devrait-il fréquenter ?
69;"
à l'université

ce qu'on ce qu'on apprend euh on apprend en plus le

le dialogue euh

courant quoi

";éviter de fréquenter ?
70;"




";pour un étranger ?
71;"
hm hm

";et est-ce qu'on parle bien à Orléans ?
72;"

en principe on parle pas mal français oui mais

euh comme partout ils ont des expressions euh typiquement orléanaises

";euh lesquelles par exemple ?
73;"
hm hm

euh lesquelles par exemple ?
";c'est quoi donc ça ?
74;"
hm hm

euh lesquelles par exemple ?
";c'est quoi donc ça ?
75;"
hm hm

";qu'est-ce on a y'en a bien des autres mais enfin ça me vient pas à l'idée hein ?
76;"
ah oui puis puis on les on les pratique même 


";et est-ce que à votre avis le français est une langue difficile ?
77;"
et est-ce que à votre avis le français est une langue difficile ?
";je peux difficilement vous répondre hein ?
78;"

";qu'est-ce que vous lui conseillez de faire ?
79;"
mais s'il est de passage à un temps où euh le syndicat d'initiative est fermé

il vous demande ce qu'il peut faire

à Orléans
";ça dépend de ce qu'il veut faire aussi hein ? 
80;"
mais s'il est de passage à un temps où euh le syndicat d'initiative est fermé

il vous demande ce qu'il peut faire

à Orléans
";on peut toujours poser la question demander à condition qu'il parle le euh f- qu'on parle euh qu'on puisse s'entendre hein ?
81;"
alors euh pour les questions de promenade
ben 
 c'est facile ça

c'est pas ça qui manque dans la région
";pouvez recommander ?
82;"

c'est ça oui

";qu'est-ce que vous lui dites ?
83;"
alors quelqu'un frappe à la porte de cette pièce

qu'est-ce que vous lui dites ?
";quelqu'un n'importe qui ?
84;"
hm hm

";qu'est-ce que vous lui dites pour l'inviter ?
85;"
oui
";pour l'inviter de de venir chez vous ?
86;"
alors cette question peut-être va vous faire rire monsieur mais je la pose quand même

";comment est-ce qu'on fait une omelette chez vous ?
87;"


bon alors 

";vous riez ?
88;"

 qui la font sans lard avec des oignons

";comment on fait une omelette ?
89;"
mais monsieur essayez de m'expliquer euh s'il vous plaît
comment
comment on fait une omelette ?

parce que vous l'avez regardée madame s' plusieurs fois sans doute
";ben non puis je m'en suis fait moi-même aussi hein ?
90;"

";alors monsieur est-ce qu'il y a u- un dictionnaire chez vous ?
91;"

Larousse

";en combien de volumes ?
92;"
oh un seul

";c'est le petit Larousse ?
93;"
le petit Larousse
";où gardez-vous ce dictionnaire ?
94;"
avec euh avec les autres euh livres d'ailleurs de lecture

";et vous vous l'avez depuis quand ?
95;"

oh ben j'en ai toujours eu un à Nancy je comme j'étais à Nancy j'en avais un mais je l'ai laissé là-bas j'en ai racheté un autre arrivé ici j'en ai toujours eu un

";et vous l'avez acheté toujours ?
96;"
je les ai je les ai laissés aux enfants d'ailleurs
";et qui en s'en sert le plus souvent ?
97;"
oui

";vous vous en servez ?
98;"
et

est-ce que vous pouvez dire combien de fois disons par semaine ou par mois vous

vous vous en servez ?
";deux ou trois fois par mois pas plus hein ?
99;"


hm hm
";et quand l'avez-vous regardé pour la der- dernière fois ?
100;"
bon

bon

merci

";et possédez-vous un livre euh sur euh mm l'art de parler ou l'art d'écrire ou les difficultés de la langue française ?
101;"

non

";guide de politesse ou de savoir-faire ?
102;"
le journal que vous lisez habituellement

";contient-il une rubrique sur le langage ?
103;"
hm hm

";et faites-vous des mots croisés ?
104;"


";et que pensez-vous du franglais ?
105;"


et que pensez-vous du franglais ?
";les mots anglais introduits dans la langue française ?
106;"
hm hm
";on y fait pas attention hein ?
107;"
bah vous savez

on a tellement l'habitude maintenant que

on y fait pas attention hein ?

";alors vous n'êtes vous êtes pour ou contre ?
108;"



";appartenant à des milieux sociaux différents ?
109;"

oui maintenant

";très grandes ou grandes ?
110;"
non

non

mais on

on reconnaît quand même quelqu'un qui est

qui a une certaine culture

";comment cela ?
111;"
hm hm

";et selon vous les gens parlent-ils de mieux en mieux ou de plus en plus mal ?
112;"
sans changement

et

";quelle est la personne qui parle le mieux le français ?
113;"
sans changement

et

";euh c'est-à-dire quelle profession ?
114;"
parmi vos connaissances

quelle est la personne qui parle le mieux le français ?

euh c'est-à-dire quelle profession ?

par exemple
";euh des gens cultivés ou pas hein ?
115;"
hm hm

";qui décide si un mot ou une expression fait partie ou non du bon français ?
116;"
hm hm

"; de leur façon de parler français ?
117;"

oui parce que euh j'estime que euh ces gens-là euh

normalement devraient

devraient parler un français pur quoi

c'est quand même le

surtout dans le dans l'information

";et comment devrait-on exercer ce contrôle ?
